MMSE,MoCA
0,0
1,0
2,0
3,0
4,0.5
5,0.5
6,1
7,1.5
8,2
9,3
10,4
11,5
12,6
13,7
14,8
15,9
16,10
17,11
18,11.5
19,12
20,13
21,14
22,15.5
23,17
24,18
25,19
26,20.5
27,22
28,23.5
29,26
30,29
